event_type,event_name,start_date,end_date,event_level,event_avg_marginal_pp,baseline_avg_marginal_pp,uplift_pp,observed_days,confidence,note
营销活动,超U补贴日,2026-05-01,2026-06-30,常规,2.456643742586689,1.9331397404474828,0.5235040021392063,12,高,用实际回补日平均新增核销率对比非该活动日期。
营销活动,U享礼金,2026-05-01,2026-06-30,常规,2.456643742586689,1.9331397404474828,0.5235040021392063,12,高,用实际回补日平均新增核销率对比非该活动日期。
主题活动,跨店满减,2026-05-01,2026-06-30,常规,2.456643742586689,1.9331397404474828,0.5235040021392063,12,高,用实际回补日平均新增核销率对比非该活动日期。
主题活动,直播间限时秒杀,2026-05-01,2026-06-30,常规,2.456643742586689,1.9331397404474828,0.5235040021392063,12,高,用实际回补日平均新增核销率对比非该活动日期。
主题活动,超级划算,2026-05-06,2026-05-30,重点,2.6743618147406183,2.069826428649799,0.6045353860908191,7,高,用实际回补日平均新增核销率对比非该活动日期。
推广激励,推广激励 5/4-5/10,2026-05-04,2026-05-10,重点,2.64152672666892,2.0985571307125355,0.5429695959563845,7,高,用实际回补日平均新增核销率对比非该活动日期。
平台活动,510周年庆,2026-05-06,2026-05-10,S级,2.736223687291434,2.1598025695925553,0.5764211176988785,5,高,用实际回补日平均新增核销率对比非该活动日期。
平台活动,百亿加补周,2026-04-23,2026-04-30,S级,1.9331397404474828,2.456643742586689,-0.5235040021392063,3,中,用实际回补日平均新增核销率对比非该活动日期。
营销活动,超U快抢日,2026-04-01,2026-04-30,常规,1.9331397404474828,2.456643742586689,-0.5235040021392063,3,中,用实际回补日平均新增核销率对比非该活动日期。
营销活动,U享礼金,2026-04-01,2026-04-30,常规,1.9331397404474828,2.456643742586689,-0.5235040021392063,3,中,用实际回补日平均新增核销率对比非该活动日期。
营销活动,品牌团 4月第三场,2026-04-23,2026-04-30,重点,1.9331397404474828,2.456643742586689,-0.5235040021392063,3,中,用实际回补日平均新增核销率对比非该活动日期。
推广激励,推广激励 4/27-4/30,2026-04-27,2026-04-30,重点,1.9331397404474828,2.456643742586689,-0.5235040021392063,3,中,用实际回补日平均新增核销率对比非该活动日期。
营销活动,天猫超秒 第一段,2026-05-11,2026-05-12,重点,2.51970713336358,2.3261330665888895,0.19357406677469058,2,中,用实际回补日平均新增核销率对比非该活动日期。
推广激励,推广激励 5/11-5/20,2026-05-11,2026-05-20,重点,2.51970713336358,2.3261330665888895,0.19357406677469058,2,中,用实际回补日平均新增核销率对比非该活动日期。
平台活动,超级88 第一场,2026-04-07,2026-04-10,S级,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
平台活动,超级88 第二场,2026-04-15,2026-04-19,S级,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
营销活动,品牌团 4月第一场,2026-04-07,2026-04-10,重点,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
营销活动,品牌团 4月第二场,2026-04-15,2026-04-19,重点,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
推广激励,推广激励 4/22-4/26,2026-04-22,2026-04-26,重点,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
平台活动,520告白季,2026-05-13,2026-05-20,S级,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
营销活动,天猫超秒 第二段,2026-05-18,2026-05-19,重点,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
营销活动,品牌团 5月,2026-05-13,2026-05-30,重点,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
营销活动,品牌日 快淘秒杀白马季,2026-05-16,2026-05-20,重点,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
营销活动,品牌日 快淘百补大牌日,2026-05-24,2026-05-26,重点,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
营销活动,品牌日 快淘淘金币品类日,2026-05-27,2026-05-29,重点,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
推广激励,推广激励 5/21-5/30,2026-05-21,2026-05-30,重点,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
618节奏,预售定金,2026-05-21,2026-05-26,S级,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
618节奏,618抢先购,2026-05-21,2026-05-30,S级,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
618节奏,现货售卖,2026-05-27,2026-06-03,S级,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
618节奏,618狂欢节,2026-05-31,2026-06-21,S级,,2.351942942158848,,0,暂无,用实际回补日平均新增核销率对比非该活动日期。
