日期,编号,渠道,负责人,pv,uv,订单量,订单率,红包量,红包使用量,红包领取率,cpa,cpa浓度,cpa收入,cps收入,预估总收入,uv收益
2026/4/22,mm_3695518595_3019150023_116168950193,快手投放,静文,33971,31334,3566,0.1138,9569,2816,0.3054,0,0,0,3104,3104,0.0991
2026/4/22,mm_1029370176_1591850259_116254800247,oppo投放-wsq,吴绍裘,7373,5716,622,0.1088,279,192,0.0488,279,0.0488,77,317,394,0.0689
2026/4/22,mm_3695479793_3017050185_116218600018,巨量投放（昌海）,昌海,5458,2774,496,0.1788,598,357,0.2156,0,0,0,313,313,0.1128
2026/4/22,mm_1029370176_1591850259_116228800042,淘宝密码换量,秋蓉,25244,25188,3997,0.1587,15733,5182,0.6246,209,0.0083,57,344,401,0.0159
2026/4/22,mm_1029370176_1591850259_116258800377,广点通投放（昌海）,昌海,2228,1562,269,0.1722,288,138,0.1844,0,0,0,167,167,0.1069
2026/4/22,mm_3695518595_3019150023_116248050480,广点通投放（jw）,静文,13634,13619,1167,0.0857,769,699,0.0565,7167,0.5263,1964,566,2530,0.1858
2026/4/22,mm_3695479793_3017050185_116022350110,小黑盒-换量,秋蓉,0,0,507,,3452,2978,,0,,0,19,19,
2026/4/22,mm_3694315623_3089650004_116155350486,巨量投放,静文,18378,16160,1221,0.0756,337,295,0.0209,4054,0.2509,1074,473,1547,0.0957
2026/4/22,mm_3694315623_3089650004_116161800238,巨量投放,静文,10341,9790,958,0.0979,553,431,0.0565,3968,0.4053,1051,344,1395,0.1425
2026/4/22,mm_3695518595_3019150023_116168900202,巨量投放,静文,50199,47374,3375,0.0712,22163,3155,0.4678,0,0,0,2199,2199,0.0464
2026/4/22,mm_3694315623_3089650004_116158250252,巨量投放,静文,26666,26624,895,0.0336,1032,541,0.0388,5119,0.1923,1356,290,1646,0.0618
2026/4/22,mm_3695518595_3019150023_116260850003,UC投放,静文,4364,4308,64,0.0149,181,43,0.042,0,0,0,53,53,0.0123
2026/4/22,mm_3695518595_3019150023_116253150183,广点通投放（jw）,静文,7512,7288,197,0.027,162,116,0.0222,1048,0.1438,287,86,373,0.0512
2026/4/22,mm_3695479793_3017050185_115757700095,灯火投放（电商）,静文,0,0,160,,1360,936,,0,,0,8,8,
2026/4/22,mm_3695518595_3019150023_116169400159,快手投放-JQ,俊清,20294,19919,312,0.0157,1121,827,0.0563,0,0,0,208,208,0.0104
2026/4/22,mm_3694315623_3089650004_116164800001,巨量投放,静文,15055,14334,912,0.0636,585,474,0.0408,4658,0.325,1234,496,1730,0.1207
2026/4/22,mm_1029370176_1591850259_116244150367,oppo投放-wsq,吴绍裘,24213,17337,942,0.0543,661,320,0.0381,443,0.0256,122,400,522,0.0301
2026/4/22,mm_3695479793_3017050185_116197900135,UC投放,静文,5981,5917,150,0.0254,518,159,0.0875,0,0,0,71,71,0.012
2026/4/22,mm_3695479793_3017050185_116046100155,多多有礼,颖慧,38458,34542,1011,0.0293,6297,4172,0.1823,0,0,0,110,110,0.0032
2026/4/22,mm_3695479793_3017050185_116157850376,非标(运营),秋蓉,0,0,92,,742,553,,0,,0,5,5,
2026/4/22,mm_1029370176_1591850259_116188200196,快手ZX（淘宝联盟）,俊清,4412,4408,1099,0.2493,1291,1057,0.2929,1870,0.4242,513,249,762,0.1729
2026/4/22,mm_3695479793_3017050185_116197900135,UC投放,静文,2474,2449,89,0.0363,235,180,0.096,0,0,0,9,9,0.0037
2026/4/22,mm_3695479793_3017050185_115710250247,网易云（淘宝闪购）,俊清,2428,2383,30,0.0126,128,23,0.0537,0,0,0,19,19,0.008
2026/4/22,mm_1093570132_1562700221_114983600177,多多换量（共用）,秋蓉,277,165,31,0.1879,215,16,1.303,1,0.0061,0,2,2,0.0121
2026/4/22,mm_3695479793_3017050185_115842400074,多多有礼,颖慧,38777,34081,340,0.01,7726,263,0.2267,0,0,0,62,62,0.0018
2026/4/22,mm_1093570132_1751350246_110478650059,多多有礼_小程序,颖慧,348,288,83,0.2882,511,362,1.7743,0,0,0,6,6,0.0208
2026/4/22,mm_1029370176_1386550351_110136400041,福利号_推送,温淑娟,106,86,26,0.3023,111,84,1.2907,0,0,0,3,3,0.0349
2026/4/22,mm_3695479793_3017050185_116197900135,UC投放,静文,1937,665,20,0.0301,0,0,0,0,0,0,2,2,0.003
2026/4/22,mm_3695479793_3017050185_115707900037,全域智投-05账号,马悦,0,0,9,,54,44,,0,,0,0,0,
2026/4/22,mm_3695479793_3017050185_116184900187,非标（探索）,刀子,685,547,140,0.2559,781,349,1.4278,2,0.0037,1,11,12,0.0219
